datetime,open,high,low,close,volume
2018-12-07 10:00:00,84.36,85.3,83.95,84.52,12692.95
2018-12-07 11:00:00,84.52,86.79,84.28,85.79,25505.72
2018-12-07 12:00:00,85.79,85.99,84.5,85.26,21284.69
2018-12-07 13:00:00,85.26,86.63,84.72,86.24,20926.28
2018-12-07 14:00:00,86.24,88.34,86.03,87.45,32656.26
2018-12-07 15:00:00,87.45,87.72,85.03,85.03,35523.89
2018-12-07 16:00:00,85.03,85.99,82.83,83.28,59008.47
2018-12-07 17:00:00,83.28,85.0,82.07,84.43,45416.42
2018-12-07 18:00:00,84.43,85.62,83.5,84.04,27907.56
2018-12-07 19:00:00,84.04,96.9,84.03,96.65,123676.79
2018-12-07 20:00:00,96.65,96.9,90.54,91.35,67990.64
2018-12-07 21:00:00,91.35,93.7,90.32,93.5,33681.69
2018-12-07 22:00:00,93.5,93.83,91.21,93.74,20956.06
2018-12-07 23:00:00,93.74,94.34,91.62,93.05,27660.75
2018-12-08 00:00:00,93.05,98.0,92.96,97.83,46073.09
2018-12-08 01:00:00,97.83,97.9,94.56,95.38,28611.12
2018-12-08 02:00:00,95.38,95.84,93.65,94.66,26451.22
2018-12-08 03:00:00,94.66,96.18,94.36,94.67,23508.92
2018-12-08 04:00:00,94.67,95.3,92.72,92.94,20711.25
2018-12-08 05:00:00,92.94,93.69,91.79,92.2,29994.29
2018-12-08 06:00:00,92.2,92.71,91.04,91.69,37275.58
2018-12-08 07:00:00,91.69,92.59,91.44,91.73,15413.16
2018-12-08 08:00:00,91.73,91.77,89.19,89.38,30139.15
2018-12-08 09:00:00,89.38,89.6,88.06,89.29,23337.98
2018-12-08 10:00:00,89.29,90.99,88.61,89.08,27678.52
2018-12-08 11:00:00,89.08,90.19,88.8,89.69,21980.33
2018-12-08 12:00:00,89.69,89.76,86.2,88.25,32420.75
2018-12-08 13:00:00,88.25,88.72,85.0,86.85,28361.04
2018-12-08 14:00:00,86.85,88.37,86.1,87.57,25512.08
2018-12-08 15:00:00,87.57,90.47,87.26,88.26,34851.35
2018-12-08 16:00:00,88.26,90.28,88.1,88.32,32145.89
2018-12-08 17:00:00,88.32,89.33,88.01,88.61,18669.79
2018-12-08 18:00:00,88.61,90.33,88.33,90.19,15885.87
2018-12-08 19:00:00,90.19,90.94,87.39,88.03,32301.74
2018-12-08 20:00:00,88.03,88.1,85.3,85.81,32420.54
2018-12-08 21:00:00,85.81,86.87,84.55,86.32,27711.45
2018-12-08 22:00:00,86.32,92.5,85.62,92.28,30318.63
2018-12-08 23:00:00,92.28,93.6,89.74,90.38,56443.38
2018-12-09 00:00:00,90.38,98.7,88.63,93.26,520519.36
2018-12-09 01:00:00,90.94,92.29,90.5,91.11,20090.93
2018-12-09 02:00:00,91.11,92.15,90.98,91.87,12873.98
2018-12-09 03:00:00,91.87,92.02,90.31,90.48,20977.02
2018-12-09 04:00:00,90.48,90.9,90.37,90.64,9486.97
